,hour,N_clicks,N_impressions,CTR,datetime,date
0,14102100,20792,119006,0.17471387997243837,2014-10-21 00:00:00,2014-10-21
1,14102101,23873,137442,0.17369508592715474,2014-10-21 01:00:00,2014-10-21
2,14102102,31265,207471,0.15069575988933392,2014-10-21 02:00:00,2014-10-21
3,14102103,32830,193355,0.1697913164903933,2014-10-21 03:00:00,2014-10-21
4,14102104,40026,264711,0.1512064100094065,2014-10-21 04:00:00,2014-10-21
5,14102105,40709,273500,0.14884460694698354,2014-10-21 05:00:00,2014-10-21
6,14102106,38657,239720,0.16125896879692975,2014-10-21 06:00:00,2014-10-21
7,14102107,35531,209311,0.1697521869371414,2014-10-21 07:00:00,2014-10-21
8,14102108,35220,207244,0.16994460635772327,2014-10-21 08:00:00,2014-10-21
9,14102109,37802,230917,0.16370384164006982,2014-10-21 09:00:00,2014-10-21
10,14102110,35694,200028,0.17844501769752236,2014-10-21 10:00:00,2014-10-21
11,14102111,35476,175666,0.20195143055571368,2014-10-21 11:00:00,2014-10-21
12,14102112,28775,143620,0.20035510374599638,2014-10-21 12:00:00,2014-10-21
13,14102113,35425,190481,0.18597655409200917,2014-10-21 13:00:00,2014-10-21
14,14102114,35168,174531,0.20150002005374404,2014-10-21 14:00:00,2014-10-21
15,14102115,34080,176156,0.1934648833988056,2014-10-21 15:00:00,2014-10-21
16,14102116,33469,171869,0.19473552531288366,2014-10-21 16:00:00,2014-10-21
17,14102117,32557,171933,0.18935864551889398,2014-10-21 17:00:00,2014-10-21
18,14102118,27470,152365,0.1802907491878056,2014-10-21 18:00:00,2014-10-21
19,14102119,20201,119775,0.16865790022959717,2014-10-21 19:00:00,2014-10-21
20,14102120,18195,112017,0.1624307024826589,2014-10-21 20:00:00,2014-10-21
21,14102121,15205,89501,0.16988636998469292,2014-10-21 21:00:00,2014-10-21
22,14102122,15883,88436,0.17959880591614275,2014-10-21 22:00:00,2014-10-21
23,14102123,13915,73940,0.18819312956451176,2014-10-21 23:00:00,2014-10-21
24,14102200,14334,78006,0.18375509576186447,2014-10-22 00:00:00,2014-10-22
